proteinID	Result_Value	Result_Type	Dose	DoseUnit	Repeat	ProjectName	ExperimentName	SampleGroup	SampleName
Protein_40	867.3	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_41	6754.5	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_41	4691.3	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_41	5015.8	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_41	6072.5	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_41	5213.5	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_41	4287.7	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_42	430.45	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_42	161.82	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_42	222.42	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_42	357.11	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_42	269.76	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_42	211.86	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_43	7621.3	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_43	5590.9	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_43	6242.9	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_43	6243	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_43	4733.3	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_43	6446.7	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_44	1353.3	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_44	758.74	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_44	909.45	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_44	1566.8	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_44	1373	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_44	732.16	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_45	276.34	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_45	409.84	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_45	260.25	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_45	516.96	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_45	399.8	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_46	21051	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_46	10553	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_46	13751	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_46	19354	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_46	17181	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_46	12833	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_47	2566.7	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_47	1526.1	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_47	2016.6	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_47	2009	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_47	2501.8	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_47	2313.9	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_48	452.74	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_48	159.41	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_48	351.14	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_48	253.28	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_48	96.717	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_49	15784	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_49	13806	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_49	8211.4	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_49	44691	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_49	18741	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_49	8888.2	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_50	6870.9	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_50	3984.3	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_50	4711.9	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_50	6279.9	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_50	5972.2	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_50	4145.3	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_51	770.95	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_51	353.25	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_51	414.72	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_51	1060.3	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_51	621.06	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_51	416.65	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_52	35128	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_52	21845	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_52	28458	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_52	34834	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_52	36581	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_52	29479	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_53	24051	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_53	14904	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_53	19821	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_53	23150	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_53	26872	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_53	20196	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_54	18857	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_54	10137	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_54	12499	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_54	16919	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_54	18258	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_54	12269	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_55	1275.7	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_55	398.27	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_55	440.78	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_55	672.83	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_55	590.17	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_55	486.61	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_56	2817.7	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_56	2374	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_56	2682.1	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_56	2289.1	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_56	2441.8	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_56	2268	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_57	2712.2	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_57	1343.8	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_57	1498.5	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_57	2654.7	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_57	1969.1	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_57	1703	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_58	4590.1	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_58	2084.6	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_58	3052.9	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_58	4039.7	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_58	2473	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_58	2071	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_59	85.9	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_59	81.221	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_59	95.254	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_60	329.85	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_60	254.22	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_60	178.66	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_60	211.45	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_60	168.68	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_60	210.59	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_61	10099	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_61	6851.1	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_61	9274	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_61	10734	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_61	11637	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_61	9285.7	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_62	45559	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_62	24221	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_62	28963	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_62	39688	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_62	33266	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_62	26278	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_63	1906.1	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_63	815.07	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_63	905.58	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_63	2064.3	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_63	1452.4	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_63	802.82	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_64	89.558	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_64	220.35	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_64	217.06	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_64	88.489	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_65	872.36	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_65	644.51	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_65	547.2	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_65	909.79	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_65	539.85	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_65	744.91	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_66	7102.6	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_66	4221.1	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_66	4698.8	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_66	6493.1	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_66	5412	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_66	4857.5	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_67	534.57	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_67	200.87	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_67	141.22	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_67	602.37	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_67	416.42	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_67	189.63	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_68	680.65	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_68	1164.8	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_68	689.14	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_68	865.33	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_68	707.79	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_68	580.22	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_69	49300	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_69	33668	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_69	44025	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_69	53182	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_69	51890	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_69	46400	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_70	7686.7	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_70	4386.3	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_70	5518.2	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_70	6046.2	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_70	5488.2	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_70	5164.9	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_71	13243	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_71	7733.8	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_71	8291.2	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_71	11067	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_71	9754.4	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_71	7618.2	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_72	390310	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_72	227760	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_72	318590	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_72	382020	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_72	440400	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_72	316990	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_73	3568.3	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_73	1522.9	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_73	1492.7	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_73	3245	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_73	2170.5	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_73	1195.2	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_74	1209.9	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_74	552.8	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_74	1154.4	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_74	955.71	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_74	690.76	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_74	1261.8	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_75	2716.6	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_75	1546.1	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_75	1868	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_75	2777.2	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_75	2416.4	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_75	2044.2	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_76	35616	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_76	24550	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_76	25746	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_76	26378	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_76	23188	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_76	23761	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_77	3716.4	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_77	2036.9	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_77	2331.6	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_77	3165.9	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_77	2810.9	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_77	2401.1	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_78	268.71	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_78	230.94	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_78	164.65	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_78	293.61	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_78	273.31	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_78	182.65	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_79	1275.7	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_79	912.31	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_79	912.82	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_79	819.61	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_79	791.48	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
