proteinID	Result_Value	Result_Type	Dose	DoseUnit	Repeat	Temperature	ProjectName	ExperimentName	SampleGroup	SampleName
Protein_1	20669	Intensity	1000	uM	R2	70	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
Protein_1	21215	Intensity	1000	uM	R2	67.1	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
Protein_1	35331	Intensity	1000	uM	R2	64	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
Protein_1	35238	Intensity	1000	uM	R2	60.8	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
Protein_1	67899	Intensity	1000	uM	R2	56.8	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
Protein_1	79061	Intensity	1000	uM	R2	53.2	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
Protein_1	203470	Intensity	1000	uM	R2	49.6	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
Protein_1	374340	Intensity	1000	uM	R2	46	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
Protein_1	581020	Intensity	1000	uM	R2	42.9	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
Protein_1	503360	Intensity	1000	uM	R2	40	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
Protein_2	167.58	Intensity	1000	uM	R2	70	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_2	284.82	Intensity	1000	uM	R2	64	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_2	301.74	Intensity	1000	uM	R2	60.8	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_2	597.03	Intensity	1000	uM	R2	56.8	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_2	327.41	Intensity	1000	uM	R2	53.2	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_2	534.07	Intensity	1000	uM	R2	49.6	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_2	1055.2	Intensity	1000	uM	R2	46	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_2	862.95	Intensity	1000	uM	R2	42.9	Project_1	Experiment_1	Active	Active_1000uM_R2
